模板名称,所属行业,五维要素,预览样式示例
课程设计模板,教育,"Context: 课程规划
Focus: 目标、内容、形式
Format: 三段式
Style: 清晰
Audience: 教师、教务","课程内容：课程中涵盖的知识点
授课方式：采用的教学方法和形式
患者信息：基本信息（性别、年龄、病史）"
病例记录模板,医疗健康,"Context: 病例记录
Focus: 基本信息、诊断、治疗情况
Format: 条格+段落
Style: 严谨
Audience: 医生、护士","诊断结论：医生的诊断结果
治疗方案：对应的治疗方法和计划"
医疗研究模板,医疗健康,"Context: 医学研究总结
Focus: 研究目的、过程、结果
Format: 三段式
Style: 学术
Audience: 医疗研究人员","研究背景：研究的动机和问题来源
研究概述：研究的过程与方法
研究结论：研究的结果与启示"
患者访谈模板,医疗健康,"Context: 患者访谈记录
Focus: 症状、体验、反馈
Style: 真实
Audience: 医生、研究者","患者背景：患者的基本情况
治疗体验：患者在治疗过程中的感受
意见与反馈：患者的建议与评价"
新闻稿模板,媒体/公关,"Context: 新闻报道写作
Focus: 事件背景、亮点、影响
Format: 三段式
Style: 专业、传播性
Audience: 媒体、公众","新闻标题：新闻的核心内容和亮点
事件报道：事件的主要发展过程
影响与意义：事件带来的社会或行业影响"
活动总结模版,媒体/公关,"Context: 活动效益
Focus: 活动流程、效果、改进
Format: 段落/条目结合
Style: 简明
Audience: 团队、客户","活动概况：活动的基本情况与规模
效果评估：活动达成的效果与成果
改进建议：对后续活动的优化建议"
舆情分析模板,媒体/公关,"Context: 公关舆情监控
Focus: 话题热度、风险点、对策
Format: 表格/条目
Style: 专业
Audience: 公关团队、管理层","热点话题：本周关注的热点事件情况与趋势
潜在风险：事件可能带来的问题
应对策略：可采取的应对措施"
生产日报模板,制造业,"Context: 每日生产汇报
Focus: 产量、异常、改进
Format: 条目+数据
Style: 简洁
Audience: 生产管理层","当日产量：当天的生产数据
异常情况：生产过程中出现的问题
改进措施：针对问题的改进计划"
质量问题跟踪模板,制造业,"Context: 质量问题治理
Focus: 问题描述、责任人、方案
Format: 表格
Style: 严谨
Audience: 质量管理团队","问题编号：工单流程号
问题描述：具体问题的详细情况
处理状态：工单的处理进度
供应商名称"
供应链协作模版,制造业,"Context: 供应链合作记录
Focus: 供应商、问题、解决方案
Format: 条目
Style: 正式
Audience: 供应链管理层","问题情况：供应商相关的问题情况
解决措施：针对问题采取的对应措施
候选人背景：候选人的基本信息"
招聘面试模板,人力资源,"Context: 候选人面试记录
Focus: 背景、评估、推荐
Format: 条目
Style: 客观
Audience: HR、用人部门","面试概况：候选人在面试中的表现
面试官反馈：面试官对候选人的评价"
培训反馈模板,人力资源,"Context: 培训结果整理
Focus: 培训效果、学员意见、改进点
Format: 条目式
Style: 简洁
Audience: HR、培训组织者","培训主题：本次培训的主题与内容
学员反馈：学员的学习收获与看法
改进建议：培训优化的建议"
绩效评估模板,人力资源,"Context: 绩效考核记录
Focus: 员工表现、目标达成、改进空间
Format: 表格+段落
Style: 正式
Audience: HR、管理层","目标完成度：与目标对比的完成情况
改进方向：需要提升的方面与建议"

